Noun,nYes,nTotal,PointEst,Lower,Upper
bicycle,170,330,0.5151515151515151,0.4613665571590476,0.5685877811526927
firearm,224,326,0.6871165644171779,0.6348516692377623,0.7350229985380697
table,216,332,0.6506024096385542,0.5978590732300558,0.6999004718575268
