Domain,Noun,nYes,nTotal,PointEst,Lower,Upper
legal,bicycle,90,168,0.5357142857142857,0.4603451940164348,0.609486615387146
legal,firearm,108,169,0.6390532544378699,0.5642958849727131,0.7076296143877029
legal,table,107,164,0.6524390243902439,0.5768239561401707,0.7210762191282966
ordinary,bicycle,80,162,0.49382716049382713,0.41787810807857495,0.5700621813145473
ordinary,firearm,116,157,0.7388535031847133,0.6650251105767633,0.8012725750442674
ordinary,table,109,168,0.6488095238095238,0.5740357154390457,0.7169301570758745
