Context,Noun,nYes,nTotal,PointEst,Lower,Upper
full,bicycle,78,135,0.5777777777777777,0.49344161293058947,0.6578100389777954
full,firearm,111,153,0.7254901960784313,0.6499080175752308,0.7900266815713952
full,table,112,151,0.7417218543046358,0.6665250354949417,0.8049249272991558
restricted,bicycle,92,195,0.4717948717948718,0.4029515236644562,0.5417280212089332
restricted,firearm,113,173,0.653179190751445,0.5796233318898995,0.7200801446220116
restricted,table,104,181,0.574585635359116,0.5017445909326146,0.6443265349514946
